title,url,image
The Real Reason Behind Pak Army Chief Munir’s Anti-India Speech: Exclusive From Imran Aide & Junoon Member,https://www.news18.com/world/why-pakistan-army-chief-asim-munir-gave-hate-speech-what-next-for-imran-khan-ws-kl-9323250.html,https://images.news18.com/ibnlive/uploads/2025/03/asim-munir-2025-03-45a88f0b5ef91c45ea5031e892cdc860-16x9.jpg?impolicy=website&width=249&height=140
India Cuts Water Flow Through Baglihar Dam After Indus Treaty Suspension: Report,https://www.news18.com/india/india-cuts-water-flow-through-baglihar-dam-after-indus-treaty-suspension-report-ws-l-9323289.html,https://images.news18.com/ibnlive/uploads/2025/04/indus-waters-treaty-2025-04-f79dc21bd7fb586876f596afb4732025-16x9.jpg?impolicy=website&width=249&height=140
Murshidabad Riots: Security Boost To Legislative Steps  A Look At Bengal Governor’s Recommendations,https://www.news18.com/india/murshidabad-riots-security-to-legislative-steps-what-governor-bose-recommended-ws-kl-9323241.html,https://images.news18.com/ibnlive/uploads/2025/05/new-1-2025-05-0d6331ae42dcfcf8be0c412511bf7a9f-16x9.jpg?impolicy=website&width=249&height=140
Three Killed  3 Injured In Collision Between Cars In MP's Chhatarpur,https://www.news18.com/india/army-vehicle-plunges-into-gorge-in-jks-ramban-3-soldiers-killed-ws-l-9323278.html,https://images.news18.com/ibnlive/uploads/2025/04/accidentrep-2025-04-1fd325373461c8eb8ae5d893dad9f287-16x9.jpg?impolicy=website&width=249&height=140
Pahalgam Terror Attack: PM Modi Meets Air Force Chief After Army  Navy Briefings,https://www.news18.com/india/pahalgam-attack-pm-modi-holds-talks-air-chief-marshal-meetings-chiefs-of-navy-army-ws-l-9323270.html,https://images.news18.com/ibnlive/uploads/2025/05/modi-airchief-1-2025-05-e18f41fecc83d2634f83a37edf742613-16x9.jpg?impolicy=website&width=249&height=140
News18 Afternoon Digest: Jaishankar Criticises Europe  Rahul Gandhi Admits To Congress' 'Wrongdoings' & Other Top Stories,https://www.news18.com/india/news18-afternoon-digest-jaishankar-criticises-europe-rahul-gandhi-admits-to-congress-wrongdoings-other-top-stories-9323262.html,https://images.news18.com/ibnlive/uploads/2025/05/jaishankar-2025-05-0d5b20004e7ce11f857dea50061e0310-16x9.jpg?impolicy=website&width=249&height=140
Minor Girl Attacks Hapur Shopkeeper With Blade After He Refused To Accept Purchased Items,https://www.news18.com/india/minor-girl-attacks-hapur-shopkeeper-with-blade-after-he-refused-to-accept-purchased-items-ws-kl-9323235.html,https://images.news18.com/ibnlive/uploads/2025/05/NW181600-x-900-px-9-2025-05-397471450f1e55fa610a9e55cd27fa56-16x9.png?impolicy=website&width=249&height=140
Padma Shri Awardee And Renowned Yoga Guru Baba Sivanand Passes Away At 128,https://www.news18.com/india/padma-shri-awardee-and-renowned-yoga-guru-baba-sivanand-passes-away-at-128-9323243.html,https://images.news18.com/ibnlive/uploads/2025/05/babashivanand-2025-05-08da178cb1e06c4c60eddffa2a11a633-16x9.jpg?impolicy=website&width=249&height=140
‘India Looking For Partners  Not Preachers’: Jaishankar’s Sharp Dig At Europe,https://www.news18.com/india/we-look-for-partners-not-preachers-jaishankars-sharp-dig-at-europe-ws-kl-9323242.html,https://images.news18.com/ibnlive/uploads/2025/05/jaishankar-2025-05-0d5b20004e7ce11f857dea50061e0310-16x9.jpg?impolicy=website&width=249&height=140
Palghar Man Beaten Up By Locals  Arrested Over Objectionable Remarks On Shivaji Maharaj,https://www.news18.com/india/palghar-man-beaten-up-by-locals-arrested-over-objectionable-remarks-on-shivaji-maharaj-9323234.html,https://images.news18.com/ibnlive/uploads/2025/04/Untitled-design-2025-04-25T180751.736-2025-04-70bede39e601f1f397129d11828a71e8-16x9.jpg?impolicy=website&width=249&height=140
